,Incident Year,Incident Month,Incident Day,Operator ID,Operator,Aircraft,Airport ID,Airport,State,Flight Phase,Visibility,Height,Speed,Distance,Species ID,Species Name,Species Quantity,Flight Impact,incident_date,Birdstrikes_N,name,elevation_ft,municipality,coordinates,long,lat,zipcode
12199,2010,11,5,NKS,SPIRIT AIRLINES,A-319,KMYR,MYRTLE BEACH INTL,SC,APPROACH,DAY,50.0,130.0,0.0,NE1,GULL,2-10,NONE,2010-11-05,16,Myrtle Beach International Airport,25.0,Myrtle Beach,"-78.9282989502, 33.6796989441",-78.9282989502, 33.6796989441,29577
10785,2010,11,5,UCA,COMMUTAIR,DHC8 DASH 8,KCLE,CLEVELAND-HOPKINS INTL ARPT,OH,APPROACH,DAWN,50.0,120.0,0.0,O2205,MOURNING DOVE,1,NONE,2010-11-05,124,Cleveland Hopkins International Airport,791.0,Cleveland,"-81.8498001099, 41.4117012024",-81.8498001099, 41.4117012024,44135
7331,2010,11,5,SWA,SOUTHWEST AIRLINES,B-737-700,KATL,HARTSFIELD - JACKSON ATLANTA INTL ARPT,GA,APPROACH,DAY,15.0,138.0,0.0,UNKBS,UNKNOWN SMALL BIRD,1,NONE,2010-11-05,96,Hartsfield Jackson Atlanta International Airport,1026.0,Atlanta,"-84.428101, 33.6367",-84.428101, 33.6367,30337
4687,2010,11,6,JIA,PSA AIRLINES,CRJ100/200,KCLT,CHARLOTTE/DOUGLAS INTL ARPT,NC,LANDING ROLL,DAY,0.0,120.0,0.0,UNKBS,UNKNOWN SMALL BIRD,1,NONE,2010-11-06,133,Charlotte Douglas International Airport,748.0,Charlotte,"-80.94309997558594, 35.2140007019043",-80.94309997558594, 35.2140007019043,28208
7185,2010,11,6,AAL,AMERICAN AIRLINES,B-757-200,KLAS,MC CARRAN INTL ARPT,NV,TAKEOFF RUN,DAY,0.0,138.0,0.0,UNKBS,UNKNOWN SMALL BIRD,1,NONE,2010-11-06,39,McCarran International Airport,2181.0,Las Vegas,"-115.1520004, 36.08010101",-115.1520004, 36.08010101,89119
12391,2010,11,6,KAP,CAPE AIR,ATR-42,PGUM,GUAM INTL ARPT,PI,CLIMB,NIGHT,1.0,100.0,0.0,UNKBS,UNKNOWN SMALL BIRD,2-10,NONE,2010-11-06,6,Antonio B. Won Pat International Airport,298.0,"Hag̴ṯa, Guam International Airport","144.796005249, 13.4834003448",144.796005249, 13.4834003448,96913
4383,2010,11,6,SWA,SOUTHWEST AIRLINES,B-737-700,KDEN,DENVER INTL AIRPORT,CO,CLIMB,DAY,25.0,140.0,0.0,UNKBS,UNKNOWN SMALL BIRD,2-10,NONE,2010-11-06,322,Denver International Airport,5431.0,Denver,"-104.672996521, 39.861698150635",-104.672996521, 39.861698150635,80249
7887,2010,11,6,SWA,SOUTHWEST AIRLINES,B-737-700,KBOS,GENERAL EDWARD LAWRENCE LOGAN INTL ARPT,MA,APPROACH,NIGHT,600.0,124.0,1.0,ZX318,NELSON'S SHARP-TAILED SPARROW,1,NONE,2010-11-06,145,General Edward Lawrence Logan International Airport,20.0,Boston,"-71.00520325, 42.36429977",-71.00520325, 42.36429977,2128
1011,2010,11,6,AAL,AMERICAN AIRLINES,B-757-200,KJFK,JOHN F KENNEDY INTL,NY,APPROACH,NIGHT,2000.0,180.0,6.0,Z6007,AMERICAN ROBIN,1,NONE,2010-11-06,159,John F Kennedy International Airport,13.0,New York,"-73.7789, 40.639801",-73.7789, 40.639801,11430
721,2010,11,7,HMR,NORTH AMERICAN CHARTERS,B-757-200,KSMF,SACRAMENTO INTL,CA,APPROACH,DAY,25.0,140.0,0.0,NE1,GULL,1,NONE,2010-11-07,347,Sacramento International Airport,27.0,Sacramento,"-121.59100341796875, 38.69540023803711",-121.59100341796875, 38.69540023803711,95837
