Incident Year,Incident Month,Incident Day,Operator ID,Operator,Aircraft,Airport ID,Airport,State,Flight Phase,Visibility,Height,Speed,Distance,Species ID,Species Name,Species Quantity,Flight Impact
2011,8,12,EGF,AMERICAN EAGLE AIRLINES,EMB-135,KXNA,NW ARKANSAS REGIONAL,AR,APPROACH,DAY,50.0,100.0,0.0,UNKBS,UNKNOWN SMALL BIRD,1,NONE
2011,8,12,AAY,ALLEGIANT AIR,MD-82,KSFB,ORLANDO SANFORD INTL ARPT,FL,LANDING ROLL,DUSK,0.0,130.0,0.0,YI,SWALLOW,1,NONE
2011,8,12,HAL,HAWAIIAN AIR,B-717-200,PHTO,HILO INTL ARPT,HI,TAKEOFF RUN,DAY,0.0,150.0,0.0,ZY101,SCALY-BREASTED MUNIA,2-10,NONE
2011,8,12,BTA,EXPRESSJET (CONTINENTAL EXPRS),EMB-145,KCLE,CLEVELAND-HOPKINS INTL ARPT,OH,APPROACH,DAY,25.0,120.0,0.0,N5111,KILLDEER,2-10,NONE
2011,8,13,EGF,AMERICAN EAGLE AIRLINES,EMB-145,KLIT,BILL AND  HILLARY CLINTON NATL ARPT/ADAMS FIELD,AR,CLIMB,DUSK,25.0,143.0,0.0,UNKBS,UNKNOWN SMALL BIRD,1,NONE
2011,8,13,BTA,EXPRESSJET (CONTINENTAL EXPRS),EMB-145,KJAX,JACKSONVILLE INTL,FL,TAKEOFF RUN,DAWN,0.0,130.0,0.0,YI,SWALLOW,1,NONE
2011,8,13,JBU,JETBLUE AIRWAYS,A-320,KLGB,LONG BEACH-DAUGH FLD,CA,CLIMB,DAY,30.0,160.0,0.0,K5114,AMERICAN KESTREL,1,NONE
2011,8,13,MES,MESABA AIRLINES,CRJ100/200,KMLI,QUAD CITY ARPT,IL,CLIMB,DAY,50.0,150.0,0.0,YI,SWALLOW,2-10,NONE
2011,8,13,SWA,SOUTHWEST AIRLINES,B-737-700,KOMA,EPPLEY AIRFIELD,NE,CLIMB,DAY,50.0,145.0,0.0,N5111,KILLDEER,1,NONE
2011,8,13,RYN,RYAN INTL AIRLINES,B-767-300,KRFD,CHICAGO/ROCKFORD INTL ARPT,IL,APPROACH,DAY,50.0,100.0,0.0,J21,DUCK,2-10,NONE
2011,8,13,AAL,AMERICAN AIRLINES,MD-83,KMFE,MC ALLEN MILLER INTL,TX,APPROACH,DAY,1200.0,130.0,4.0,UNKBS,UNKNOWN SMALL BIRD,1,NONE
2011,8,13,TRS,AIRTRAN AIRWAYS,B-717-200,KPHF,NEWPORT NEWS/WILLIAMSBURG INTL,VA,APPROACH,DAY,30.0,140.0,0.0,O2111,ROCK PIGEON,2-10,NONE
2011,8,13,FLG*,PINNACLE,CRJ100/200,KCLE,CLEVELAND-HOPKINS INTL ARPT,OH,APPROACH,DAY,50.0,120.0,0.0,UNKBS,UNKNOWN SMALL BIRD,1,NONE
2011,8,13,SWA,SOUTHWEST AIRLINES,B-737-700,KOAK,METRO OAKLAND INTL,CA,TAKEOFF RUN,DAY,0.0,85.0,0.0,K3302,RED-TAILED HAWK,1,NONE
2011,8,13,AWE,US AIRWAYS,A-319,KCLT,CHARLOTTE/DOUGLAS INTL ARPT,NC,TAKEOFF RUN,DAY,0.0,100.0,0.0,O2111,ROCK PIGEON,1,NONE
2011,8,13,BTA,EXPRESSJET (CONTINENTAL EXPRS),EMB-145,KIAH,GEORGE BUSH INTERCONTINENTAL/ HOUSTON ARPT,TX,LANDING ROLL,DAY,0.0,90.0,0.0,UNKBS,UNKNOWN SMALL BIRD,1,NONE
2011,8,13,COA,CONTINENTAL AIRLINES,B-757-300,KEWR,NEWARK LIBERTY INTL ARPT,NJ,APPROACH,DAY,10.0,140.0,0.0,NE1,GULL,1,NONE
2011,8,14,FFT,FRONTIER AIRLINES,A-320,KDEN,DENVER INTL AIRPORT,CO,APPROACH,DAY,25.0,140.0,0.0,ZT002,WESTERN MEADOWLARK,1,NONE
2011,8,14,EGF,AMERICAN EAGLE AIRLINES,CRJ700,KMSP,MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN ARPT,MN,LANDING ROLL,DAY,0.0,120.0,0.0,YI,SWALLOW,1,NONE
2011,8,14,COA,CONTINENTAL AIRLINES,B-757-200,KEWR,NEWARK LIBERTY INTL ARPT,NJ,APPROACH,DAY,50.0,150.0,0.0,YI005,BARN SWALLOW,1,NONE
2011,8,14,AAL,AMERICAN AIRLINES,MD-82,KDEN,DENVER INTL AIRPORT,CO,TAKEOFF RUN,DAY,0.0,140.0,0.0,Y9008,WESTERN KINGBIRD,1,NONE
2011,8,14,AAL,AMERICAN AIRLINES,MD-83,KDFW,DALLAS/FORT WORTH INTL ARPT,TX,APPROACH,DAY,10.0,130.0,0.0,O2205,MOURNING DOVE,1,NONE
2011,8,14,ANA,ALL NIPPON AIRWAYS,B-777-300,KIAD,WASHINGTON DULLES INTL ARPT,DC,LANDING ROLL,DAY,0.0,100.0,0.0,UNKB,UNKNOWN BIRD,1,NONE
2011,8,14,SWA,SOUTHWEST AIRLINES,B-737-300,KMDW,CHICAGO MIDWAY INTL ARPT,IL,APPROACH,DAY,100.0,143.0,0.200000003,UNKBS,UNKNOWN SMALL BIRD,1,NONE
2011,8,14,SWA,SOUTHWEST AIRLINES,B-737-300,KHOU,WILLIAM P HOBBY ARPT,TX,APPROACH,DAY,1150.0,145.0,3.0,UNKBS,UNKNOWN SMALL BIRD,2-10,NONE
2011,8,14,JBU,JETBLUE AIRWAYS,A-320,KBOS,GENERAL EDWARD LAWRENCE LOGAN INTL ARPT,MA,APPROACH,NIGHT,300.0,140.0,1.0,NE1,GULL,1,NONE
2011,8,14,COM,COMAIR AIRLINES,CRJ100/200,KATW,OUTAGAMIE COUNTY REGIONAL,WI,LANDING ROLL,DAY,0.0,140.0,0.0,N5111,KILLDEER,1,NONE
2011,8,14,BUS,BUSINESS,PILATUS PC12,KBLM,MONMOUTH EXECUTIVE ARPT,NJ,APPROACH,DAY,25.0,100.0,0.0,UNKBS,UNKNOWN SMALL BIRD,1,NONE
2011,8,14,AWI,AIR WISCONSIN AIRLINES,CRJ100/200,KCAE,COLUMBIA METRO,SC,LANDING ROLL,DAY,0.0,140.0,0.0,ZX3,SPARROW,1,NONE
2011,8,14,TRS,AIRTRAN AIRWAYS,B-737-700,KLGA,LA GUARDIA ARPT,NY,TAKEOFF RUN,DAY,0.0,150.0,0.0,NE101,HERRING GULL,1,NONE
2011,8,15,GTI,ATLAS AIR,B-747-400,KHSV,HUNTSVILLE INTL ARPT-CARL T JONES FIELD,AL,TAKEOFF RUN,DAY,0.0,155.0,0.0,UNKBS,UNKNOWN SMALL BIRD,1,NONE
2011,8,15,BUS,BUSINESS,DA-50 FALCON,KCSG,COLUMBUS ARPT,GA,LANDING ROLL,DAY,0.0,90.0,0.0,O22,DOVE,2-10,NONE
2011,8,15,AWE,US AIRWAYS,A-320,KPHL,PHILADELPHIA INTL,PA,LANDING ROLL,DAY,0.0,110.0,0.0,UNKBS,UNKNOWN SMALL BIRD,1,NONE
2011,8,15,ACA,AIR CANADA,A-319,KLAX,LOS ANGELES INTL,CA,LANDING ROLL,NIGHT,0.0,50.0,0.0,R1101,BARN OWL,1,NONE
2011,8,15,AAL,AMERICAN AIRLINES,MD-83,KDFW,DALLAS/FORT WORTH INTL ARPT,TX,APPROACH,DAY,2500.0,170.0,8.0,UNKBM,UNKNOWN MEDIUM BIRD,1,NONE
2011,8,15,MES,MESABA AIRLINES,CRJ900,KOMA,EPPLEY AIRFIELD,NE,LANDING ROLL,DAY,0.0,135.0,0.0,YI009,CLIFF SWALLOW,1,NONE
2011,8,15,AAL,AMERICAN AIRLINES,B-737-800,KAUS,AUSTIN-BERGSTROM INTL,TX,CLIMB,DAY,10.0,170.0,0.0,UNKBS,UNKNOWN SMALL BIRD,1,NONE
